Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
11:55:15,1.699010292689096;2.9628245544436327;8.455148102399335,9.118908638021585,11;11;11,1.699010292689096e-06;2.962824554443633e-06;8.455148102399335e-06,43.106451666666665;5.8798200000000005 
11:55:17,1.7357962036138042;4.65747041702369;14.97061876611383,15.774170196439828,6;6;6,1.7357962036138042e-06;4.65747041702369e-06;1.4970618766113831e-05,43.106451666666665;5.8798200000000005 
11:55:19,0.1427792135876571;3.7933132553100712;5.529732948888366,6.707276484741436,1;1;1,1.427792135876571e-07;3.7933132553100713e-06;5.529732948888367e-06,43.106451666666665;5.8798200000000005 
11:55:21,8.977009245554669;2.637362766265916;9.435897897123624,13.288286062566604,43;43;43,8.97700924555467e-06;2.637362766265916e-06;9.435897897123624e-06,43.106451666666665;5.8798200000000005 
11:55:23,7.650845982233534;0.19328190485690122;5.85270077703548,9.634672206365707,53;53;53,7.650845982233534e-06;1.9328190485690122e-07;5.85270077703548e-06,43.106451666666665;5.8798200000000005 
11:55:25,13.186190341313047;17.11293045997808;0.23630271589425433,21.605180943906074,38;38;38,1.3186190341313048e-05;1.7112930459978083e-05;2.3630271589425434e-07,43.106451666666665;5.8798200000000005 
11:55:27,13.25664471308391;10.198426186243005;2.1890734449776517,16.868271051672394,52;52;52,1.3256644713083909e-05;1.0198426186243006e-05;2.1890734449776515e-06,43.106451666666665;5.8798200000000005 
11:55:29,3.1480010890957697;17.638532543182595;12.402463391657292,21.79102657782003,8;8;8,3.14800108909577e-06;1.7638532543182596e-05;1.2402463391657293e-05,43.106451666666665;5.8798200000000005 
11:55:31,19.269582424164405;11.00148132642409;28.97358102800851,36.49407891376214,32;32;32,1.9269582424164406e-05;1.100148132642409e-05;2.897358102800851e-05,43.106451666666665;5.8798200000000005 
11:55:33,3.8450629266104652;15.239966452917253;4.235991166416042,16.278350885688397,14;14;14,3.845062926610465e-06;1.5239966452917253e-05;4.235991166416042e-06,43.106451666666665;5.8798200000000005 
11:55:35,3.004598385492746;2.0799626922596293;3.0719353071635425,4.773954628051623,39;39;39,3.004598385492746e-06;2.0799626922596293e-06;3.0719353071635426e-06,43.106451666666665;5.8798200000000005 
11:55:37,0.0274335606896825;7.188839880624243;10.637363157249169,12.838756418310448,0;0;0,2.7433560689682503e-08;7.1888398806242425e-06;1.063736315724917e-05,43.10626333333333;5.8798 
11:55:39,3.294521242776849;8.282441368101745;0.048632221190558766,8.91375736309268,22;22;22,3.294521242776849e-06;8.282441368101745e-06;4.8632221190558765e-08,43.106255;5.879808333333333 
11:55:41,5.780375935236504;0.034915440877969495;12.216663366990232,13.515207318536927,25;25;25,5.780375935236504e-06;3.4915440877969495e-08;1.2216663366990233e-05,43.10624666666666;5.879815000000001 
11:55:43,1.311199502944782;0.997584025067555;9.400358966164646,9.543645357846481,8;8;8,1.3111995029447822e-06;9.97584025067555e-07;9.400358966164646e-06,43.10624166666666;5.8798200000000005 
11:55:45,5.925649108886821;13.135687650044247;12.809602371824269,19.28070331511333,18;18;18,5.925649108886822e-06;1.3135687650044247e-05;1.280960237182427e-05,43.106235;5.879826666666666 
11:55:47,13.736108535131159;1.3673136043554912;7.487491598077156,15.703908895967102,61;61;61,1.373610853513116e-05;1.3673136043554913e-06;7.487491598077156e-06,43.106226666666664;5.879835000000001 
11:55:49,2.364897629420354;8.659029337564572;1.9608760993250485,9.18784876580727,15;15;15,2.3648976294203543e-06;8.659029337564572e-06;1.9608760993250484e-06,43.10622;5.879845 
11:55:51,4.2528253968553145;2.814433930715343;20.802744372719673,21.418723949928,11;11;11,4.252825396855314e-06;2.814433930715343e-06;2.0802744372719674e-05,43.10621166666667;5.879850000000001 
11:55:53,4.510950263341723;9.853636207580063;19.346271696047523,22.174784042397462,12;12;12,4.510950263341723e-06;9.853636207580064e-06;1.9346271696047524e-05,43.10620666666667;5.8798483333333325 
11:55:55,4.737277139028162;7.5797681204496925;13.769776995971483,16.41649895594459,17;17;17,4.737277139028162e-06;7.5797681204496926e-06;1.3769776995971483e-05,43.10620166666666;5.879846666666666 
11:55:57,8.412127291361344;6.160704844792919;0.27620607699319066,10.430458261634014,54;54;54,8.412127291361344e-06;6.160704844792919e-06;2.7620607699319067e-07,43.10619499999999;5.879846666666666 
11:55:59,8.748811899821185;11.042631667456227;2.7539553992479426,14.354988475878578,38;38;38,8.748811899821186e-06;1.1042631667456228e-05;2.7539553992479425e-06,43.10618666666666;5.879846666666666 
11:56:00,20.686151739757047;8.081677583058223;7.005533815975795,23.28750502745066,63;63;63,2.068615173975705e-05;8.081677583058224e-06;7.005533815975795e-06,43.10617666666667;5.879850000000001 
