Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:01:22,72.97140096346527;20.755982621509574;273.36607991855465,283.6981667603667,15;15;15,7.297140096346527e-05;2.0755982621509575e-05;0.00027336607991855467,43.11653666666666;5.882384999999999 
22:01:25,108.89564868609055;103.64586275418547;92.0246323521905,176.2647444283165,38;38;38,0.00010889564868609055;0.00010364586275418548;9.202463235219049e-05,43.11653666666666;5.882384999999999 
22:01:28,300.47168485959355;118.55724996884753;25.71459871609072,324.0374909013898,68;68;68,0.0003004716848595936;0.00011855724996884754;2.571459871609072e-05,43.11653666666666;5.882384999999999 
22:01:32,64.41088304837521;11.736576054888538;292.61009925208725,299.84525885342924,12;12;12,6.441088304837521e-05;1.173657605488854e-05;0.00029261009925208724,43.11653666666666;5.882384999999999 
22:01:35,118.90016947746271;73.59925540924107;22.514224465679078,141.63682784450887,57;57;57,0.0001189001694774627;7.359925540924108e-05;2.2514224465679078e-05,43.11653666666666;5.882384999999999 
22:01:38,129.8492776425678;12.133739194869708;40.91279133795389,136.6818167358363,72;72;72,0.00012984927764256781;1.2133739194869708e-05;4.091279133795389e-05,43.11653666666666;5.882384999999999 
22:01:42,186.50207442601524;65.46208721478818;35.684204066640746,200.85236131943563,68;68;68,0.00018650207442601525;6.546208721478818e-05;3.568420406664075e-05,43.11653666666666;5.882384999999999 
22:01:45,119.75746824900276;46.49926187833153;119.44011183101289,175.41371916371145,43;43;43,0.00011975746824900276;4.649926187833154e-05;0.00011944011183101288,43.11653666666666;5.882384999999999 
22:01:48,12.91247822443617;9.89353956858352;18.920428015331225,24.951890016088896,31;31;31,1.2912478224436169e-05;9.89353956858352e-06;1.8920428015331224e-05,43.11653666666666;5.882384999999999 
22:01:52,7.582262080509869;4.726054318745843;12.331385529792627,15.227913736479238,30;30;30,7.582262080509869e-06;4.726054318745843e-06;1.2331385529792628e-05,43.11653666666666;5.882384999999999 
22:01:55,11.454135077794609;4.302081108092493;3.187280960045058,12.643728570292744,65;65;65,1.145413507779461e-05;4.302081108092493e-06;3.1872809600450583e-06,43.11653666666666;5.882384999999999 
22:01:58,0.27807654698638884;16.937106275557777;13.448056147950638,21.62852537076801,1;1;1,2.7807654698638885e-07;1.693710627555778e-05;1.3448056147950637e-05,43.11653666666666;5.882384999999999 
22:02:02,3.219702440897074;7.671421152748548;2.522640603380921,8.693727734670697,22;22;22,3.2197024408970738e-06;7.671421152748548e-06;2.522640603380921e-06,43.11653666666666;5.882384999999999 
22:02:05,2.642974176406243;2.6941003576919087;0.8816148820933734,3.8756591742301647,43;43;43,2.642974176406243e-06;2.6941003576919087e-06;8.816148820933734e-07,43.11653666666666;5.882384999999999 
22:02:08,12.707973499298475;6.193749815621374;0.18205908459556497,14.138184917013426,64;64;64,1.2707973499298476e-05;6.1937498156213745e-06;1.8205908459556497e-07,43.11653666666666;5.882384999999999 
22:02:12,8.761905190150257;7.326631174087939;4.678045587599655,12.3423910747456,45;45;45,8.761905190150257e-06;7.326631174087939e-06;4.6780455875996555e-06,43.11653666666666;5.882384999999999 
22:02:15,2.336840578714444;6.747408949533962;1.8374250762391853,7.3732274027979114,18;18;18,2.336840578714444e-06;6.747408949533962e-06;1.8374250762391853e-06,43.11653666666666;5.882384999999999 
22:02:18,5.4324685064948;0.31174500783215375;2.6610553869073073,6.057236564321598,64;64;64,5.4324685064948e-06;3.1174500783215377e-07;2.6610553869073074e-06,43.11653666666666;5.882384999999999 
22:02:22,9.775076465606213;3.702283713022947;27.657393604883396,29.56671178226636,19;19;19,9.775076465606213e-06;3.702283713022947e-06;2.7657393604883397e-05,43.11653666666666;5.882384999999999 
22:02:25,1.536902888616201;12.664952688217323;16.08666589421759,20.531534688766044,4;4;4,1.5369028886162012e-06;1.2664952688217324e-05;1.608666589421759e-05,43.11653666666666;5.882384999999999 
22:02:28,12.923701044717975;2.1005378627774185;12.586392946191793,18.161816963127684,45;45;45,1.2923701044717975e-05;2.1005378627774187e-06;1.2586392946191794e-05,43.11653666666666;5.882384999999999 
22:02:32,1.0667914168035892;3.0195621458667388;13.580859521276523,13.953334541118275,4;4;4,1.0667914168035894e-06;3.019562145866739e-06;1.3580859521276522e-05,43.11653666666666;5.882384999999999 
22:02:35,0.034291950861103926;12.02836938222318;9.434650917089726,15.287101879049539,0;0;0,3.429195086110393e-08;1.202836938222318e-05;9.434650917089727e-06,43.11653666666666;5.882384999999999 
22:02:38,7.445717767080029;5.237316131591063;5.65131350203707,10.71473460369139,44;44;44,7.445717767080029e-06;5.237316131591063e-06;5.65131350203707e-06,43.11653666666666;5.882384999999999 
22:02:42,9.747019414901276;7.573533220292195;9.076144158076005,15.32120053036018,40;40;40,9.747019414901276e-06;7.573533220292194e-06;9.076144158076006e-06,43.11653666666666;5.882384999999999 
