Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:08:53,507.9392345523834;885.9948995113384;163.52147942857442,1034.2768015344236,29;29;29,43.116546666666665;5.8825 
22:08:56,170.97779652595523;2643.0770522594453;1096.2575549443407,2866.508387892471,3;3;3,43.116546666666665;5.8825 
22:09:00,144.19328894297263;2114.327591454188;1193.4771061070712,2432.1925234985756,3;3;3,43.116546666666665;5.8825 
22:09:03,46.227420231501476;280.4009177652991;19.311356255212075,284.841319940239,9;9;9,43.116546666666665;5.8825 
22:09:07,1093.895151274999;1092.4311967182166;1948.385723784753,2487.2111792516503,26;26;26,43.116546666666665;5.8825 
22:09:10,27.15922508239746;2434.028331886926;347.28082127571724,2458.8280771052832,1;1;1,43.116546666666665;5.8825 
22:09:14,59.57135354677834;163.1305511887874;140.79215090752405,223.5682281803921,15;15;15,43.116546666666665;5.8825 
22:09:18,25.90975109100313;47.18821834564268;251.740952215199,257.4326128804369,6;6;6,43.116546666666665;5.8825 
22:09:21,426.3798821131386;6483.422653411229;555.1654857889989,6521.102500593595,4;4;4,43.116546666666665;5.8825 
22:09:25,296.58671857198084;6525.619834181467;2474.010876121525,6985.15624142105,2;2;2,43.116546666666665;5.8825 
22:09:28,963.7939836661019;6555.561071713763;2199.7532054805847,6981.632615151128,8;8;8,43.116546666666665;5.8825 
22:09:32,245.58585878054302;6337.492944774626;1027.8694290860599,6425.0015410387905,2;2;2,43.116546666666665;5.8825 
22:09:35,323.92301481882737;3633.5096468448655;302.66574622473286,3660.454210501996,5;5;5,43.116546666666665;5.8825 
22:09:39,346.4783896255494;7786.672658656437;1869.824111340849,8015.519981566812,2;2;2,43.116546666666665;5.8825 
22:09:42,689.0799183336891;7234.9494612439485;2783.8922722975317,7782.633296279787,5;5;5,43.116546666666665;5.8825 
22:09:46,264.53122639656056;612.4511249383294;3224.64983417194,3292.9378529213413,5;5;5,43.116546666666665;5.8825 
22:09:50,230.4288164997099;6553.447440560659;1830.740639708857,6808.258373882861,2;2;2,43.116546666666665;5.8825 
22:09:54,970.2832677491502;2997.6078154373163;298.49771546999193,3164.838561599257,18;18;18,43.116546666666665;5.8825 
22:09:58,382.70066557566315;440.3242363135027;67.3344277318435,587.2641293958791,41;41;41,43.116546666666665;5.8825 
22:10:01,505.00696100870755;3680.4222826035807;1012.0415115483574,3850.294564062506,8;8;8,43.116546666666665;5.8825 
22:10:05,188.6107176589965;5150.328675076166;1489.7657964515663,5364.779733819892,2;2;2,43.116546666666665;5.8825 
22:10:09,426.0868418057762;2070.256823186875;4292.410777950293,4784.590222513906,5;5;5,43.116546666666665;5.8825 
22:10:12,464.7662919076281;1635.267167447408;273.49140141169494,1721.88964851734,16;16;16,43.116546666666665;5.8825 
22:10:16,446.6888223934179;4551.6130351829515;2625.898655347816,5273.7136701053505,5;5;5,43.116546666666665;5.8825 
22:10:19,191.42016366958586;41.09110948244743;53.9904944165599,203.08897514423109,71;71;71,43.116546666666665;5.8825 
22:10:23,34.387968324025685;10.66354973792899;14.802899951899207,38.9277472434948,62;62;62,43.116546666666665;5.8825 
22:10:26,35.547659753163735;14.722469739913702;26.915440486208198,46.955597810442015,49;49;49,43.116546666666665;5.8825 
22:10:30,23.351571556727;64.25064611434867;48.32982856432366,83.72104723029403,16;16;16,43.116546666666665;5.8825 
22:10:33,37.09516197204617;87.39085455576512;32.499417066579994,100.34652266713951,22;22;22,43.116546666666665;5.8825 
22:10:37,20.817084643046115;24.698933480579722;124.40558631579002,128.53068985533895,9;9;9,43.116546666666665;5.8825 
22:10:40,10.363027550379156;59.61312737782959;57.450864003492086,83.43691671270575,7;7;7,43.116546666666665;5.8825 
22:10:44,48.801810506184815;53.83836285273208;34.396697184247316,80.39476848980175,37;37;37,43.116546666666665;5.8825 
22:10:47,71.71195113182036;69.78037906328733;36.50658739725543,106.51120204345695,42;42;42,43.116546666666665;5.8825 
22:10:51,103.81171109835283;66.28696450551308;35.9766208839325,128.31660171135002,54;54;54,43.116546666666665;5.8825 
22:10:54,7.99501247088083;5.136310749053907;7.41766071631389,12.055023974374045,42;42;42,43.116546666666665;5.8825 
22:10:58,14.572208646138229;2.554438594181585;2.381108369874596,14.984795575086002,77;77;77,43.116546666666665;5.8825 
22:11:01,4.737900629043834;2.3686385695132484;4.683033507605572,7.070286689875897,42;42;42,43.116546666666665;5.8825 
22:11:05,0.04177383104983501;14.612112007141299;4.7241838486620225,15.356870625168483,0;0;0,43.116546666666665;5.8825 
22:11:08,7.023615026473862;1.8399190362299311;7.384615745491985,10.356110264407135,43;43;43,43.116546666666665;5.8825 
22:11:12,0.22071546554575106;13.13381717999812;12.047074082635945,17.82351993818459,1;1;1,43.116546666666665;5.8825 
22:11:16,9.006936766306845;12.14870295524606;1.6852935123825574,15.216967754120171,36;36;36,43.116546666666665;5.8825 
22:11:20,2.4752553621926743;0.6958148574832679;1.371678034509216,2.9141976690528586,58;58;58,43.116546666666665;5.8825 
22:11:23,8.558023955027167;11.57072771072276;12.787780221243494,19.252242382572806,26;26;26,43.116546666666665;5.8825 
22:11:27,5.8421014467879;2.139817733764704;21.035306148476707,21.9361134663467,15;15;15,43.116546666666665;5.8825 
22:11:30,17.241992893219095;7.089704968133937;32.65217212044291,37.59939600110659,27;27;27,43.116546666666665;5.8825 
22:11:34,2.555685574213984;7.266776132582919;6.965006965062415,10.385031831375876,14;14;14,43.116546666666665;5.8825 
22:11:38,8.915283734003744;3.8625206470487283;1.7601123141766095,9.8741756701603,65;65;65,43.116546666666665;5.8825 
22:11:41,585.7751046180724;411.06260289828026;68.28462651569467,718.8655833396191,55;55;55,43.116546666666665;5.8825 
22:11:45,255.9925306320191;740.0140646934527;91.65303230286348,788.3864978637196,19;19;19,43.116546666666665;5.8825 
22:11:48,164.71733327865587;1019.0445514043167;914.8468999862657,1379.3217347826205,7;7;7,43.116546666666665;5.8825 
22:11:52,11.539553209940475;2756.7729505761463;1528.1534532260448,3152.0125696010923,0;0;0,43.116546666666665;5.8825 
22:11:56,470.8328497600554;1996.3065428988136;538.9366641712012,2120.701797429749,13;13;13,43.116546666666665;5.8825 
22:11:59,1381.5485049025215;38.41010241508464;2869.02110507648,3184.5617765620746,26;26;26,43.116546666666665;5.8825 
22:12:03,140.46606562932328;8.122827924092968;431.3403686777679,453.7082868737781,18;18;18,43.116546666666665;5.8825 
22:12:07,260.8763279247282;1136.3641736920672;380.7703404871674,1226.5260070284112,12;12;12,43.116546666666665;5.8825 
22:12:10,349.53598466237406;2645.249914964039;673.1117155424294,2751.8360959169827,7;7;7,43.116546666666665;5.8825 
22:12:14,602.4858840179443;892.7903171920766;70.04473882992457,1079.3377860292694,34;34;34,43.116546666666665;5.8825 
22:12:18,317.9306522782646;99.32694741566883;1632.9939228502824,1666.6178008790594,11;11;11,43.116546666666665;5.8825 
22:12:21,413.68936633427893;1073.9135432529445;992.8467479260856,1519.9256083991595,16;16;16,43.116546666666665;5.8825 
22:12:25,190.61274409929914;2715.676229683556;2417.0606746005933,3640.5237133387873,3;3;3,43.116546666666665;5.8825 
22:12:28,145.73642673174544;1043.7353795146932;512.579870738966,1171.9047625186927,7;7;7,43.116546666666665;5.8825 
22:12:32,345.39476397832226;3801.7690269025156;1899.8626133155892,4264.061822531808,5;5;5,43.116546666666665;5.8825 
22:12:35,149.12447147687246;785.8324754746759;497.5793244520634,941.9957386453962,9;9;9,43.116546666666665;5.8825 
22:12:39,340.21231496810935;14.852779153188111;441.65788145701515,557.6976856305146,38;38;38,43.116546666666665;5.8825 
22:12:42,323.3032657432556;56.418988027572055;694.4431794484078,768.0881676817597,25;25;25,43.116546666666665;5.8825 
22:12:46,54.75863411585538;158.32219618797328;71.01052486419945,181.95307212989374,18;18;18,43.116546666666665;5.8825 
22:12:50,579.7322393862402;2548.8359129015607;458.27264339446924,2653.8025163836646,13;13;13,43.116546666666665;5.8825 
22:12:53,209.82745940208443;4063.4166119766205;529.0057152017251,4103.0755747271805,3;3;3,43.116546666666665;5.8825 
22:12:57,1312.3055742327372;1766.3116754500052;1022.035433009469,2426.223254632634,33;33;33,43.116546666666665;5.8825 
22:13:00,1209.5643954912819;4944.540183995563;1425.779510103835,5286.243549952934,13;13;13,43.116546666666665;5.8825 
22:13:04,1223.4738342507678;9365.639924669265;1701.0503520202765,9597.169985040566,7;7;7,43.116546666666665;5.8825 
22:13:07,375.53801227569596;1207.8473039881405;1479.9988253561532,1946.8745289491549,11;11;11,43.116546666666665;5.8825 
22:13:11,374.03103690783166;2250.709173990885;207.8821705531979,2291.0272803463054,9;9;9,43.116546666666665;5.8825 
22:13:14,944.9016127014158;7769.327166420619;2096.4870481459297,8102.502182635362,7;7;7,43.116546666666665;5.8825 
22:13:18,382.94445017178816;1482.6667391331996;1844.921920115162,2397.641341521009,9;9;9,43.116546666666665;5.8825 
22:13:22,522.2028156407671;1439.1726991303783;315.90680368740465,1563.2373291350727,20;20;20,43.116546666666665;5.8825 
22:13:26,1060.7753616428374;4212.162625013988;1446.0940617942679,4578.072343573206,13;13;13,43.116546666666665;5.8825 
22:13:29,342.65140790939347;1156.2185897509237;143.69948485058438,1214.4550039314868,16;16;16,43.116546666666665;5.8825 
22:13:33,410.6560874080658;1757.0484842872618;412.1599453258717,1850.8737446926223,13;13;13,43.116546666666665;5.8825 
22:13:36,584.1116332562768;3044.539779386518;435.3070121574394,3130.4793663599926,11;11;11,43.116546666666665;5.8825 
22:13:40,762.8537509473165;763.3014167785642;1240.9720815404164,1644.562739865314,28;28;28,43.116546666666665;5.8825 
22:13:43,29.989246263504313;3770.029020675023;818.2502153491811,3857.920629891484,0;0;0,43.116546666666665;5.8825 
22:13:47,772.4399099381764;761.7401977793368;332.0034454218419,1134.5209699032341,43;43;43,43.116546666666665;5.8825 
22:13:51,78.75614132881161;155.92861801783152;735.8073775577552,756.2597176779784,6;6;6,43.116546666666665;5.8825 
22:13:54,19.53643615086914;1.3018471527108666;7.822305736572943,21.08448743798222,68;68;68,43.116546666666665;5.8825 
22:13:57,1.4907646274565922;11.11807395935166;16.174577986362237,19.683773032043508,4;4;4,43.116546666666665;5.8825 
22:14:01,81.12103895823164;201.10608106295186;37.77227212899703,220.11593159957437,22;22;22,43.116546666666665;5.8825 
22:14:05,20.265295979181822;49.39225555102056;28.386876923265802,60.46562586294633,20;20;20,43.116546666666665;5.8825 
22:14:08,109.31775142669673;117.68935186703987;85.72987715405134,182.07351854874918,37;37;37,43.116546666666665;5.8825 
22:14:12,24.62660863876362;144.86790513992247;64.23630584396989,160.37294903180037,9;9;9,43.116546666666665;5.8825 
22:14:15,73.19149293899532;83.84569032669108;62.49115729012544,127.6410559516709,35;35;35,43.116546666666665;5.8825 
22:14:19,1.3255397733053926;3.6418051815021446;181.16874083202993,181.21018860796391,0;0;0,43.116546666666665;5.8825 
22:14:23,41.237006146112755;56.914662590027085;22.502378155399683,73.79787609599465,34;34;34,43.116546666666665;5.8825 
22:14:27,7.022368046442421;0.7643987592065304;9.887304668383834,12.151409467556297,35;35;35,43.116546666666665;5.8825 
22:14:31,1.2981062126164178;7.433871456781926;4.872574472447155,8.982733802397467,8;8;8,43.116546666666665;5.8825 
22:14:34,10.665420207976714;1.7289378134402456;17.808745317468677,20.83007018610173,31;31;31,43.116546666666665;5.8825 
22:14:38,9.102954228718582;6.671966657638972;12.500974814141586,16.842009561646552,33;33;33,43.116546666666665;5.8825 
22:14:42,11.525212939579685;1.2924948024748417;0.5804692046122994,11.61197746357539,83;83;83,43.116546666666665;5.8825 
22:14:46,3.384927295048634;13.50604071934952;3.480944757408011,14.352276652490325,14;14;14,43.116546666666665;5.8825 
22:14:49,424.8248980140687;201.87047982215762;241.9602643394345,528.9353969205512,53;53;53,43.116546666666665;5.8825 
22:14:53,682.4004697958628;2814.6770918210336;1357.0235251363324,3198.3730833305176,12;12;12,43.116546666666665;5.8825 
22:14:56,150.4899146111807;622.1108557510369;747.9442342027074,984.4235413276352,9;9;9,43.116546666666665;5.8825 
22:15:00,38.463099066416454;247.33848921457897;2062.3802738189665,2077.514893345975,1;1;1,43.116546666666665;5.8825 
22:15:04,8.950199174881323;1299.8195631790159;563.2839492829618,1416.6509133897341,0;0;0,43.116546666666665;5.8825 
22:15:07,322.2757541974387;2201.7290453402197;564.4486286322241,2295.66432764093,8;8;8,43.116546666666665;5.8825 
22:15:11,16.92214251518273;39.564182434081275;544.6827481556013,546.3798857730028,2;2;2,43.116546666666665;5.8825 
22:15:15,549.6638098907474;2945.169811159768;478.50052997270785,3033.9937833909016,10;10;10,43.116546666666665;5.8825 
22:15:18,271.81171930948886;260.94304135640425;1245.526052614819,1301.2716969674564,12;12;12,43.116546666666665;5.8825 
22:15:22,526.8160182666777;832.1085279273982;2.911074883124698,984.8594791688981,32;32;32,43.116546666666665;5.8825 
22:15:25,815.6646022542315;1578.4902961508435;1163.388724931087,2123.7734539516478,23;23;23,43.116546666666665;5.8825 
22:15:29,49.31057835896818;627.3051510715487;706.0612924003635,945.7620389532802,3;3;3,43.116546666666665;5.8825 
22:15:33,69.47985687573747;2071.0835709476487;1754.012087910965,2714.9167598470713,1;1;1,43.116546666666665;5.8825 
22:15:36,312.7999529393516;2852.471186100642;4.221650896075957,2869.5737489093312,6;6;6,43.116546666666665;5.8825 
22:15:40,256.19516488711037;94.43255079269397;672.9963698895674,726.2765196846748,21;21;21,43.116546666666665;5.8825 
22:15:43,429.66068657557173;2984.1036451880136;1880.7164819145398,3553.3895587393718,7;7;7,43.116546666666665;5.8825 
22:15:47,64.62286965370218;341.01911104838103;439.87220605217203,560.3192902620004,7;7;7,43.116546666666665;5.8825 
22:15:50,110.68506503105175;498.0569178040827;423.9258254114819,663.3437890296684,10;10;10,43.116546666666665;5.8825 
22:15:54,108.87694398562125;0.1833060646059259;25.722080596333186,111.87425066996288,77;77;77,43.116546666666665;5.8825 
22:15:58,295.8428949832916;3149.3160295391062;493.3102883147935,3201.4167977602165,5;5;5,43.116546666666665;5.8825 
22:16:01,1233.0755804920195;5723.1457866986575;199.1907197348226,5857.862240258028,12;12;12,43.116546666666665;5.8825 
22:16:05,841.8062916310629;354.4709081363683;264.205141118369,950.837427712036,62;62;62,43.116546666666665;5.8825 
22:16:08,429.6344999949139;3938.3495027542117;1828.7454716586974,4363.426704958205,6;6;6,43.116546666666665;5.8825 
22:16:12,595.4448112710315;8139.091661151248;1067.661185375851,8230.38686810344,4;4;4,43.116546666666665;5.8825 
22:16:16,95.7531026458739;6567.128681974411;2609.693526350668,7067.308404460206,1;1;1,43.116546666666665;5.8825 
22:16:19,903.8653703403472;5884.763127619426;430.2081108093194,5969.29549398384,9;9;9,43.116546666666665;5.8825 
22:16:23,1369.7632966264093;5799.283893451688;319.12525914827404,5967.393576483745,13;13;13,43.116546666666665;5.8825 
22:16:26,322.66107102711953;3891.526026067734;1714.113714828466,4264.536411578865,4;4;4,43.116546666666665;5.8825 
