Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:02:17,750.8023124345141;964.8919495836894;1021.6544806098789,1593.2666018211353,28;28;28,43.116546666666665;5.8825 
22:02:21,77.49793847719828;329.6591229629516;49.02377295174354,342.17597539181816,13;13;13,43.116546666666665;5.8825 
22:02:24,139.73782929102575;585.4122334289553;2111.1658735847423,2195.280275903757,4;4;4,43.116546666666665;5.8825 
22:02:28,334.83097264289836;1339.9093476963046;792.6790193367079,1592.422327142373,12;12;12,43.116546666666665;5.8825 
22:02:31,79.33286959330232;908.2522460905714;63.92331385612415,913.9485963558477,5;5;5,43.116546666666665;5.8825 
22:02:35,159.35531914393087;688.2294779523211;980.3707127126061,1208.379355337806,8;8;8,43.116546666666665;5.8825 
22:02:38,47.46068348248787;671.8235851701104;1933.0983720906545,2047.06344851521,1;1;1,43.116546666666665;5.8825 
22:02:42,293.6874899991352;843.4566697025299;253.8539598782883,928.5005807179457,18;18;18,43.116546666666665;5.8825 
22:02:45,268.7578652127584;1938.2477761300395;277.9568369038294,1976.4349812144958,8;8;8,43.116546666666665;5.8825 
22:02:49,231.02362597465506;1193.1528912989293;396.873840611768,1278.4735363453585,10;10;10,43.116546666666665;5.8825 
22:02:53,83.67423057238241;1703.930875892639;726.1576225852834,1854.0999702067975,3;3;3,43.116546666666665;5.8825 
22:02:56,42.5189016183216;452.1842633914956;360.5293606185871,579.8791985593078,4;4;4,43.116546666666665;5.8825 
22:03:00,41.50635383288055;1358.6626803874979;817.5930568726883,1586.2362570350822,2;2;2,43.116546666666665;5.8825 
22:03:03,439.5180637232462;440.36601014455096;103.15829356193262,630.6663022235072,44;44;44,43.116546666666665;5.8825 
22:03:07,891.6568123435972;353.7619999885563;140.12938102087526,969.4512195360536,67;67;67,43.116546666666665;5.8825 
22:03:10,17.89291646957398;13.01473058700564;8.01184670133459,23.531454685275577,50;50;50,43.116546666666665;5.8825 
22:03:14,793.8436986859635;374.26110472361216;470.3970302391127,995.7572789139562,53;53;53,43.116546666666665;5.8825 
22:03:19,895.036128228506;70.93321210225415;1718.5573281701263,1938.9586075057562,28;28;28,43.116546666666665;5.8825 
22:03:22,778.2583187643685;3246.70766394615;1129.8094231573846,3524.6653739763483,13;13;13,43.116546666666665;5.8825 
22:03:26,650.2969688892364;2675.6014089266473;1734.1383436616075,3254.0689670248557,12;12;12,43.116546666666665;5.8825 
22:03:29,61.06585911432896;779.1467920366919;519.2194159158099,938.2897018268898,4;4;4,43.116546666666665;5.8825 
22:03:33,105.03873944918335;504.52625020662964;1373.685048824944,1467.1709127766353,4;4;4,43.116546666666665;5.8825 
22:03:36,237.84959466616306;3639.860516144434;1446.707575969702,3924.043809265923,3;3;3,43.116546666666665;5.8825 
22:03:40,677.1762469545998;4216.338761138915;1482.7184888044958,4520.457314826083,9;9;9,43.116546666666665;5.8825 
22:03:43,243.38057459513314;501.4568088595072;236.6899032370391,605.5700996054679,24;24;24,43.116546666666665;5.8825 
22:03:48,230.21807687441492;2302.4451285107925;1249.0138557624775,2629.503668871653,5;5;5,43.116546666666665;5.8825 
22:03:52,359.05854767163527;1056.072999944687;304.164616222371,1156.1701153506508,18;18;18,43.116546666666665;5.8825 
22:03:56,212.54338191032392;5664.808943382898;1210.8855708344954,5796.678266031325,2;2;2,43.116546666666665;5.8825 
22:03:59,980.9343476867675;6397.32117620786;327.1701508204057,6480.354213591802,9;9;9,43.116546666666665;5.8825 
22:04:03,218.6267739931741;1761.1105217393238;1209.3255988153082,2147.5046775356786,6;6;6,43.116546666666665;5.8825 
22:04:06,1098.0594410896297;7750.217820930477;2631.3061842536954,8258.049590752418,8;8;8,43.116546666666665;5.8825 
22:04:10,317.449941476186;1759.496929578781;646.7873435910753,1901.2989713272323,10;10;10,43.116546666666665;5.8825 
22:04:13,65.09422810554489;550.9962080542236;156.34885028837076,576.4365037098929,6;6;6,43.116546666666665;5.8825 
22:04:17,56.29366653442415;10.433481922148658;13.370743385914707,58.79295209122204,73;73;73,43.116546666666665;5.8825 
22:04:21,26.614918298721605;6.154469944637975;2.3798613898549092,27.420705982559976,76;76;76,43.116546666666665;5.8825 
22:04:25,39.792379779815676;75.69667582193895;133.75918353081494,158.76063554251422,15;15;15,43.116546666666665;5.8825 
22:04:28,11.867508958180881;183.64337270418773;51.53706120491819,191.10676279159037,4;4;4,43.116546666666665;5.8825 
22:04:32,26.129219576518135;163.16421964963328;110.42694016458121,198.74457930636416,8;8;8,43.116546666666665;5.8825 
22:04:35,8.544307174682602;27.01332841873183;44.04582866668427,52.37136737081154,9;9;9,43.116546666666665;5.8825 
22:04:39,69.04029641469319;51.270830968220885;26.09555111567552,89.86789429619128,50;50;50,43.116546666666665;5.8825 
22:04:42,17.330528475443696;92.00904510180108;160.85294216157564,186.1173839269686,5;5;5,43.116546666666665;5.8825 
22:04:46,4.252201906840031;98.23583988825463;108.79776075363701,146.64690315384425,2;2;2,43.116546666666665;5.8825 
22:04:50,15.44696513811797;7.419531186422745;3.955420659341513,17.587027252974767,61;61;61,43.116546666666665;5.8825 
22:04:54,7.546723149617129;11.727223704657897;10.67227859810771,17.56070433074041,25;25;25,43.116546666666665;5.8825 
22:04:57,12.12251637458825;5.397553065619009;20.286494639746522,24.241098306735147,30;30;30,43.116546666666665;5.8825 
22:05:01,3.4279481061302435;2.810692990622532;2.9815292549510986,5.342315977549981,40;40;40,43.116546666666665;5.8825 
22:05:05,33.52692861239101;118.76424865404867;11.06944173814206,123.90130847144104,16;16;16,43.116546666666665;5.8825 
22:05:08,442.6186795711517;840.8186834462489;981.5615786425304,1366.1443871731894,19;19;19,43.116546666666665;5.8825 
22:05:12,197.62326583544407;1037.7642156346635;342.26609107972905,1110.475393493387,10;10;10,43.116546666666665;5.8825 
22:05:15,79.88465825716652;2874.7023460992177;288.12346509934804,2890.2093814175587,2;2;2,43.116546666666665;5.8825 
22:05:19,112.73011228243493;2605.065983454387;754.7739438343193,2714.5461061948454,2;2;2,43.116546666666665;5.8825 
22:05:23,313.78818461418143;1080.4277669366206;582.9812458578693,1267.144158094536,14;14;14,43.116546666666665;5.8825 
22:05:26,755.2365734259287;2865.578816699982;214.07342640877047,2971.1532556322636,15;15;15,43.116546666666665;5.8825 
22:05:30,317.5796273994447;1454.8939998753874;1089.4758540439523,1845.1371242152636,10;10;10,43.116546666666665;5.8825 
22:05:34,520.852959756851;1190.0691096814476;378.56318583169644,1353.0936320789144,23;23;23,43.116546666666665;5.8825 
22:05:37,705.5126211865738;1161.6915851084393;9.040605227136567,1359.1751653514646,31;31;31,43.116546666666665;5.8825 
22:05:41,172.36256785074855;431.172026373546;1644.3576518758273,1708.6632957975535,6;6;6,43.116546666666665;5.8825 
22:05:45,666.0619139353435;2452.3882423782334;633.6454210408302,2619.0366710216613,15;15;15,43.116546666666665;5.8825 
22:05:48,72.64905662536611;885.4786497783662;1325.340879990259,1595.5810141811128,3;3;3,43.116546666666665;5.8825 
22:05:52,45.31961876869178;2548.6681940873445;79.22749978064125,2550.3020268429536,1;1;1,43.116546666666665;5.8825 
22:05:56,208.4377001571656;5858.091471729279;748.1549738280027,5909.350034551829,2;2;2,43.116546666666665;5.8825 
22:05:59,529.1971266365052;2221.138289527892;297.73144624076406,2302.6395536704918,13;13;13,43.116546666666665;5.8825 
22:06:02,72.95706069310515;1186.7739649486534;1649.1304679457119,2033.0731607327289,2;2;2,43.116546666666665;5.8825 
22:06:06,254.90952847480784;1638.4868698883045;39.94014691352987,1658.678180310785,9;9;9,43.116546666666665;5.8825 
22:06:10,243.29453297297104;297.718976440429;110.35897975285636,400.00990377659923,37;37;37,43.116546666666665;5.8825 
22:06:13,779.0788316249842;266.86058509508706;9.054322007493454,823.5656491807183,71;71;71,43.116546666666665;5.8825 
22:06:17,480.68960341771435;1452.30277537028;519.9495227241489,1615.733069650791,17;17;17,43.116546666666665;5.8825 
22:06:21,131.7079013792674;5993.635083684921;3427.951223580016,6905.9291973570225,1;1;1,43.116546666666665;5.8825 
22:06:25,360.8635512669883;6559.4759655221305;2256.7888251336362,6946.225107649734,3;3;3,43.116546666666665;5.8825 
22:06:29,442.7034742132823;961.7632766850778;257.61422816276183,1089.6513465381593,24;24;24,43.116546666666665;5.8825 
22:06:32,624.7687936878204;5496.755315030416;2203.5116032950023,5954.839915962222,6;6;6,43.116546666666665;5.8825 
22:06:36,103.51929428100593;48.12781779924942;680.4757561174935,689.9853518722189,9;9;9,43.116546666666665;5.8825 
22:06:39,149.87640043576562;3553.5458053557086;1526.4351147429113,3870.420505021249,2;2;2,43.116546666666665;5.8825 
22:06:43,1391.825490830739;7268.660319410957;1830.3060671679266,7623.688171444143,11;11;11,43.116546666666665;5.8825 
22:06:47,654.5622640864054;6411.605332466762;942.7823701381417,6513.522341584884,6;6;6,43.116546666666665;5.8825 
22:06:51,829.6027215544381;6017.727984870274;1515.555837459578,6260.84660984113,8;8;8,43.116546666666665;5.8825 
22:06:54,1104.7987446689606;7225.474283475876;575.4600857989071,7332.06745725522,9;9;9,43.116546666666665;5.8825 
22:06:58,32.576106338501;9.891669098535393;1578.185409533173,1578.5525758381066,1;1;1,43.116546666666665;5.8825 
22:07:01,183.1782491525014;3087.285631370543;585.6585119851445,3147.678943807681,3;3;3,43.116546666666665;5.8825 
22:07:05,355.6973129971822;717.3445912138619;350.7885761038736,874.1604350130365,24;24;24,43.116546666666665;5.8825 
22:07:08,612.5446484406787;1212.987355677284;966.0815685335696,1667.292076520058,22;22;22,43.116546666666665;5.8825 
22:07:12,262.8428154341382;2305.0045550250998;1426.7933048693387,2723.5769640551325,6;6;6,43.116546666666665;5.8825 
22:07:15,91.27083292325325;48.98075214068126;511.38775782903065,521.7728604289174,10;10;10,43.116546666666665;5.8825 
22:07:19,9.415322726567837;6.650144507091338;0.29615775746272277,11.530847038614606,55;55;55,43.116546666666665;5.8825 
22:07:23,3.244018551509145;1.4109579054500943;1.7756995646571738,3.9582278253545846,55;55;55,43.116546666666665;5.8825 
22:07:27,26.86244383494066;46.71249546368861;8.67212262789252,54.57887716052499,29;29;29,43.116546666666665;5.8825 
22:07:30,90.65856572786986;17.5175754801426;72.50253647167781,117.39871713678971,51;51;51,43.116546666666665;5.8825 
22:07:34,70.49739258130377;103.23186538378381;203.70665791830334,239.0043992725297,17;17;17,43.116546666666665;5.8825 
22:07:37,58.154160741169996;13.80095149676025;78.73307219821868,98.84973106435687,36;36;36,43.116546666666665;5.8825 
22:07:41,39.126492443084665;55.50993958473094;89.51757899918711,112.36384095194924,20;20;20,43.116546666666665;5.8825 
22:07:45,47.470659322738264;131.63620002746583;57.479544544230876,151.27937961010645,18;18;18,43.116546666666665;5.8825 
22:07:51,0.9763853645326781;1.6871639823919926;1.203959220296369,2.291150036049813,25;25;25,43.116546666666665;5.8825 
22:07:55,8.293664188384522;6.604629735946443;3.9554206594232255,11.315977739975983,47;47;47,43.116546666666665;5.8825 
22:07:58,0.357883268991388;6.213078006108319;8.718260889002849,10.711605466638865,2;2;2,43.116546666666665;5.8825 
22:08:02,4.943028844198088;10.205908066431736;6.040994761725926,12.848646283800901,23;23;23,43.116546666666665;5.8825 
22:08:06,13.984881051381127;2.2401996262874646;8.160237325011366,16.345790454652416,59;59;59,43.116546666666665;5.8825 
22:08:09,284.2821431128183;63.19445402781204;740.6394251791805,795.8370650091872,21;21;21,43.116546666666665;5.8825 
22:08:13,736.7251548608142;1267.2135293197634;23.01675741833087,1465.9890360496547,30;30;30,43.116546666666665;5.8825 
22:08:17,401.7938003253936;1520.5499924850455;960.5418597444011,1842.8649440334545,13;13;13,43.116546666666665;5.8825 
22:08:20,163.82574255625428;1029.2629292710612;703.7525088723341,1257.5725208670308,7;7;7,43.116546666666665;5.8825 
22:08:24,654.3608768113452;724.3532424799604;354.67603635153466,1038.5908086222312,39;39;39,43.116546666666665;5.8825 
22:08:27,1467.3874928092955;1553.8537116718294;991.5112323125435,2356.009748522151,39;39;39,43.116546666666665;5.8825 
22:08:31,15.259294643402143;654.1133512751262;501.6544551944655,824.4721431351376,1;1;1,43.116546666666665;5.8825 
22:08:35,529.1023561541242;2988.4437591870624;341.38759364766,3054.061376955035,10;10;10,43.116546666666665;5.8825 
22:08:39,393.4371636454264;215.8260568428043;64.28057363510042,453.32734386591875,60;60;60,43.116546666666665;5.8825 
22:08:42,958.9843816852564;1300.9069297663377;3836.1476428763035,4162.696076123712,13;13;13,43.116546666666665;5.8825 
22:08:46,265.07865063031545;514.2901038519545;1901.8471820354507,1987.909380670112,8;8;8,43.116546666666665;5.8825 
22:08:49,438.92886565844213;3753.2721030139915;105.13101597152108,3780.312494872677,7;7;7,43.116546666666665;5.8825 
