Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:04:51,5.359520174662423;5.749201434453733;9.365443525281236,12.226581945162376,26;26;26,43.116605;5.882431666666667 
22:04:55,4.443613341649184;14.25796967824311;1.718961973175226,15.032971400924204,17;17;17,43.116605;5.882431666666667 
22:04:58,0.39653964996324426;1.9440418688457806;3.6125011508154614,4.121493302974227,6;6;6,43.116605;5.882431666666667 
22:05:02,276.90438575744616;74.04505077044243;189.2672526455019,343.483334849425,54;54;54,43.116605;5.882431666666667 
22:05:06,609.09924261411;347.7047944863638;181.43185361863522,724.4432544853881,57;57;57,43.116605;5.882431666666667 
22:05:09,220.01216880798333;1537.1017819309232;1026.9959195740962,1861.6680319704303,7;7;7,43.116605;5.882431666666667 
22:05:13,713.1509973684947;568.7881191412605;555.7914697647135,1068.1799602066835,42;42;42,43.116605;5.882431666666667 
22:05:17,264.12907533645637;231.19757968902582;976.5038276354527,1037.6782809131378,15;15;15,43.116605;5.882431666666667 
22:05:21,966.4687558333077;915.1100127728788;2146.927390413266,2526.0216569114914,23;23;23,43.116605;5.882431666666667 
22:05:24,381.64073254903184;112.88660827636745;699.6592969194761,804.9323989221451,28;28;28,43.116605;5.882431666666667 
22:05:28,248.62661958694466;306.2146513938897;871.0030820846359,956.1532187345539,15;15;15,43.116605;5.882431666666667 
22:05:32,10.071234223047762;812.4006320222214;1136.5954884878545,1397.1204390172757,0;0;0,43.116605;5.882431666666667 
22:05:36,875.1337034384409;215.57790781656837;3628.151373650239,3738.424163113726,14;14;14,43.116605;5.882431666666667 
22:05:39,272.83050199508676;321.05870168685897;68.09633253097758,426.79302155952837,40;40;40,43.116605;5.882431666666667 
22:05:43,425.94406259218846;61.913805535633635;1140.035906394294,1218.5825912270789,20;20;20,43.116605;5.882431666666667 
22:05:47,161.42156505584725;298.6242839431758;3.3643521245352304,339.47710304359475,28;28;28,43.116605;5.882431666666667 
22:05:51,283.4067631308237;1309.3888879394526;1847.8585580889276,2282.4109848907797,7;7;7,43.116605;5.882431666666667 
22:05:54,101.06773153940802;266.24270648956286;238.13764705338338,371.2268902726891,16;16;16,43.116605;5.882431666666667 
22:05:58,8.886603193283108;639.4276674461356;23.247448724095676,639.9118357118425,1;1;1,43.116605;5.882431666666667 
22:06:02,155.88622069676717;325.816553996404;695.6764426994245,783.8511680084035,11;11;11,43.116605;5.882431666666667 
22:06:05,543.7911574331927;322.91046703338594;330.9784278360848,713.8113982804541,50;50;50,43.116605;5.882431666666667 
22:06:09,594.3468453534445;98.17099692662539;530.9715792210827,803.0046918665478,48;48;48,43.116605;5.882431666666667 
22:06:13,315.79706944465636;229.8308895746849;218.80135119755374,447.68745588680434,45;45;45,43.116605;5.882431666666667 
22:06:17,141.73985573132848;369.5624839655569;815.810498917898,906.7598284012145,9;9;9,43.116605;5.882431666666667 
22:06:20,358.57222545941653;3301.6863900375374;1875.7740765603382,3814.214918607211,5;5;5,43.116605;5.882431666666667 
22:06:24,204.5153244686128;3632.9977615420025;1107.7054551219999,3803.6180971042218,3;3;3,43.116605;5.882431666666667 
22:06:28,821.9213245614369;5690.111415198644;1170.8575118287445,5867.182449366011,8;8;8,43.116605;5.882431666666667 
22:06:32,300.22914724349965;1552.372922884623;537.336788790979,1669.94911813148,10;10;10,43.116605;5.882431666666667 
22:06:35,19.566363671620678;898.4541004943832;731.4722514788059,1158.7295922543683,1;1;1,43.116605;5.882431666666667 
