Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
14:03:11,2.891746692656821;21.042788028716704;23.234978923831306,31.48055546757204,5;5;5,2.8917466926568213e-06;2.1042788028716702e-05;2.3234978923831307e-05,43.106885;5.878936666666668 
14:03:13,0.5717403443649405;20.036475143432764;7.947627229668797,21.562745691969436,2;2;2,5.717403443649405e-07;2.0036475143432763e-05;7.947627229668796e-06,43.106885;5.878936666666668 
14:03:15,2.4746318721763916;13.612657512028449;17.920350030269816,22.63994683407996,6;6;6,2.4746318721763916e-06;1.361265751202845e-05;1.7920350030269815e-05,43.106885;5.878936666666668 
14:03:17,8.769387070337558;7.381498295465749;30.20497380896714,32.30679664522248,16;16;16,8.769387070337559e-06;7.381498295465749e-06;3.020497380896714e-05,43.106885;5.878936666666668 
14:03:19,15.335983915328145;0.9402229436241416;13.282207803698043,20.309935154390278,49;49;49,1.5335983915328144e-05;9.402229436241416e-07;1.3282207803698043e-05,43.106885;5.878936666666668 
14:03:21,1.1104357178999547;5.863923597335841;1.5194451682098986,6.158521012237963,10;10;10,1.1104357178999548e-06;5.863923597335842e-06;1.5194451682098987e-06,43.106885;5.878936666666668 
14:03:23,6.2068431059528475;8.282441368102521;16.36598942123868,19.36412523441394,19;19;19,6.206843105952847e-06;8.282441368102522e-06;1.6365989421238682e-05,43.106885;5.878936666666668 
14:03:26,5.0271999963115155;0.04364430109626838;0.9346115335002736,5.1135255300511036,79;79;79,5.027199996311515e-06;4.364430109626838e-08;9.346115335002736e-07,43.106885;5.878936666666668 
14:03:28,2.5276285235077687;10.239576527277194;4.336996549005434,11.40383148230897,13;13;13,2.527628523507769e-06;1.0239576527277195e-05;4.336996549005434e-06,43.106885;5.878936666666668 
14:03:30,7.7306527042391435;11.408620306649963;11.258982702916143,17.79562586815734,26;26;26,7.730652704239144e-06;1.1408620306649963e-05;1.1258982702916143e-05,43.106885;5.878936666666668 
14:03:32,13.007872196832192;15.384616136550399;4.522796573700916,20.648167996343105,39;39;39,1.3007872196832193e-05;1.53846161365504e-05;4.522796573700916e-06,43.106885;5.878936666666668 
14:03:34,11.977866690952993;18.0157440026594;8.031798381756161,23.07696053818137,31;31;31,1.1977866690952993e-05;1.80157440026594e-05;8.031798381756161e-06,43.106885;5.878936666666668 
14:03:36,1.6160861206052923;9.338633454640894;1.0231471156956218,9.532504349314898,10;10;10,1.6160861206052924e-06;9.338633454640893e-06;1.0231471156956217e-06,43.106885;5.878936666666668 
14:03:39,1.76385325431766;1.5930169900253144;1.2176760005644383,2.670508617403606,41;41;41,1.76385325431766e-06;1.5930169900253145e-06;1.2176760005644384e-06,43.106885;5.878936666666668 
14:03:41,15.749357795716012;0.8859793122613924;12.167407655679696,19.92167260494783,52;52;52,1.5749357795716013e-05;8.859793122613923e-07;1.2167407655679696e-05,43.106885;5.878936666666668 
14:03:43,14.227418667476233;1.7170915031438916;0.7182604980808804,14.348649529238752,83;83;83,1.4227418667476233e-05;1.7170915031438917e-06;7.182604980808805e-07,43.106885;5.878936666666668 
14:03:46,1.8523888365420405;25.319306046168805;6.510482743552259,26.208490773323778,4;4;4,1.8523888365420405e-06;2.5319306046168804e-05;6.51048274355226e-06,43.106885;5.878936666666668 
14:03:48,7.412672796248882;4.555218054453164;13.941860240253234,16.433903871771253,27;27;27,7.412672796248881e-06;4.555218054453164e-06;1.3941860240253235e-05,43.106885;5.878936666666668 
14:03:50,5.903826958339742;5.754189354578471;2.500818452851661,8.615100743258123,43;43;43,5.903826958339743e-06;5.754189354578471e-06;2.500818452851661e-06,43.106885;5.878936666666668 
Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
14:05:36,18.175980936685793;0.5667524242398969;21.386954517380374,28.072928505049912,40;40;40,1.8175980936685793e-05;5.667524242398969e-07;2.1386954517380373e-05,43.10702500000001;5.87839 
