Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:00:22,324.0502067820228;130.06126424789434;364.79527930578826,504.97531105690746,40;40;40,0.00032405020678202286;0.00013006126424789435;0.00036479527930578825,43.11642;5.88249 
22:00:26,58.719042695363655;20.124387235641457;106.30504767101812,123.1002847153792,29;29;29,5.8719042695363654e-05;2.012438723564146e-05;0.00010630504767101811,43.11642;5.88249 
22:00:29,266.1628997675576;113.42966808001206;130.19656158129146,317.2697960112302,57;57;57,0.00026616289976755757;0.00011342966808001206;0.0001301965615812915,43.11642;5.88249 
22:00:32,111.36903357823674;31.004911499023514;1.6784351221943439,115.61653567579388,74;74;74,0.00011136903357823675;3.100491149902351e-05;1.678435122194344e-06,43.11642;5.88249 
22:00:36,68.1430942821502;31.04543835004178;173.83151032764843,189.274125340691,21;21;21,6.81430942821502e-05;3.104543835004178e-05;0.00017383151032764844,43.11642;5.88249 
22:00:39,10.629881277084142;17.924714460372893;16.730731080381034,26.724653916090908,23;23;23,1.0629881277084141e-05;1.7924714460372893e-05;1.6730731080381035e-05,43.11642;5.88249 
22:00:43,6.407606890996176;1.4215572357181085;4.300210638003676,7.846659325800004,55;55;55,6.407606890996176e-06;1.4215572357181087e-06;4.300210638003677e-06,43.11642;5.88249 
22:00:46,2.7820124499001175;17.472060709000022;15.619671872434182,23.600564571486274,7;7;7,2.7820124499001177e-06;1.7472060709000023e-05;1.561967187243418e-05,43.11642;5.88249 
22:00:50,14.428182452520256;0.041150341034315585;3.1629648495101748,14.770866219454348,78;78;78,1.4428182452520255e-05;4.115034103431559e-08;3.1629648495101746e-06,43.11642;5.88249 
22:00:53,10.658561817804834;4.427402601242261;2.5232640933747774,11.814131178481482,64;64;64,1.0658561817804835e-05;4.427402601242261e-06;2.5232640933747775e-06,43.11642;5.88249 
22:00:57,1.2077001603443827;8.99696092605618;6.474943812694534,11.150279949841114,6;6;6,1.2077001603443827e-06;8.996960926056182e-06;6.474943812694534e-06,43.11642;5.88249 
22:01:00,0.025563090642111153;3.8562857468919867;16.510015614791484,16.954415614639867,0;0;0,2.5563090642111154e-08;3.856285746891987e-06;1.6510015614791486e-05,43.11642;5.88249 
22:01:03,11.933598899840858;5.92190816879247;0.38718729974007715,13.327778999779893,64;64;64,1.1933598899840859e-05;5.9219081687924705e-06;3.8718729974007715e-07,43.11642;5.88249 
22:01:07,4.697997268041043;1.8081210454308703;4.815836881036262,6.966546124888588,42;42;42,4.697997268041043e-06;1.8081210454308703e-06;4.8158368810362615e-06,43.11642;5.88249 
22:01:10,0.3740940093994727;1.7501364739732141;14.864001973442953,14.97135527171525,1;1;1,3.7409400939947267e-07;1.7501364739732142e-06;1.4864001973442953e-05,43.11642;5.88249 
22:01:14,8.989479045868249;2.435352001189786;3.6430521615820055,10.000675074104285,64;64;64,8.989479045868249e-06;2.435352001189786e-06;3.6430521615820056e-06,43.11642;5.88249 
22:01:17,5.341438964207828;3.5358118788404793;21.30215987520323,22.244436410024544,14;14;14,5.3414389642078285e-06;3.5358118788404796e-06;2.1302159875203232e-05,43.11642;5.88249 
22:01:21,10.367391980489248;2.4864781824745426;10.738992029786232,15.132459814744161,43;43;43,1.036739198048925e-05;2.4864781824745427e-06;1.0738992029786232e-05,43.11642;5.88249 
22:01:24,1.9939210700988808;2.260151306787722;1.6110982004082786,3.41754920589555,36;36;36,1.993921070098881e-06;2.260151306787722e-06;1.6110982004082785e-06,43.11642;5.88249 
22:01:28,4.101940813064142;1.3623256842298301;6.3489988294982425,7.680601268179702,32;32;32,4.101940813064143e-06;1.3623256842298302e-06;6.348998829498243e-06,43.11642;5.88249 
22:01:31,7.576027180353773;10.17099262555473;0.5636349741244828,12.69499756638827,37;37;37,7.5760271803537725e-06;1.017099262555473e-05;5.636349741244828e-07,43.11642;5.88249 
22:01:35,10.892994063694983;12.768452030817313;3.0133272456716043,17.05200363665466,40;40;40,1.0892994063694983e-05;1.2768452030817314e-05;3.0133272456716044e-06,43.11642;5.88249 
22:01:38,12.00779421170578;4.6262959162390525;8.418362191546791,15.377209035561345,51;51;51,1.200779421170578e-05;4.626295916239052e-06;8.41836219154679e-06,43.11642;5.88249 
22:01:42,10.690983298619727;12.024628442128968;12.866963453358693,20.602125171270345,31;31;31,1.0690983298619727e-05;1.2024628442128969e-05;1.2866963453358694e-05,43.11642;5.88249 
22:01:45,0.9701504643749304;10.573767175674757;23.11464535079466,25.436834982008218,2;2;2,9.701504643749304e-07;1.0573767175674757e-05;2.311464535079466e-05,43.11642;5.88249 
22:01:49,8.710155518849266;36.40121758460994;5.100771818163707,37.774770997924385,13;13;13,8.710155518849266e-06;3.6401217584609936e-05;5.100771818163707e-06,43.11642;5.88249 
22:01:52,285.9044641335803;667.530232922236;429.29968585647947,843.5853215610122,20;20;20,0.0002859044641335803;0.000667530232922236;0.0004292996858564795,43.11642;5.88249 
