Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
15:51:41,10.833762512207231;3.2814279524453482;12.11752845450853,16.5823000643403,41;41;41,1.0833762512207232e-05;3.281427952445348e-06;1.211752845450853e-05 
15:51:43,11.510872669220104;3.38056286494115;1.9602526092867834,12.156108965579122,71;71;71,1.1510872669220105e-05;3.38056286494115e-06;1.9602526092867834e-06 
15:51:46,10.594342346191581;0.8965786425241262;3.0189386558969744,11.052508023910573,73;73;73,1.0594342346191582e-05;8.965786425241262e-07;3.0189386558969746e-06 
15:51:48,8.299899088541451;0.5661289342249187;0.3716000493270144,8.327479417374606,85;85;85,8.299899088541452e-06;5.661289342249187e-07;3.716000493270144e-07 
15:51:50,2.3779909197486697;1.0761437670363527;11.670486113255052,11.958811493681859,11;11;11,2.3779909197486697e-06;1.0761437670363528e-06;1.1670486113255052e-05 
15:51:52,9.629803291956264;0.9969605350487187;3.977866299990751,10.466635660555806,67;67;67,9.629803291956264e-06;9.969605350487188e-07;3.977866299990751e-06 
15:51:54,22.78232517242415;5.588341010407394;3.144883639080831,23.66757673725873,74;74;74,2.278232517242415e-05;5.588341010407394e-06;3.144883639080831e-06 
15:51:56,9.309952913919853;12.986050046286056;1.8330606460992271,16.083309062389137,35;35;35,9.309952913919854e-06;1.2986050046286057e-05;1.8330606460992272e-06 
15:51:59,10.941626284917065;4.401839510600691;1.9240901883179617,11.949790788488926,66;66;66,1.0941626284917065e-05;4.4018395106006915e-06;1.9240901883179617e-06 
15:52:01,7.178240550358921;0.20014029503101494;5.1587563896422495,8.84194328324871,54;54;54,7.178240550358921e-06;2.0014029503101493e-07;5.15875638964225e-06 
15:52:03,16.933988825480274;4.915595283512597;4.157431424411939,18.116492226186338,69;69;69,1.6933988825480277e-05;4.915595283512597e-06;4.157431424411939e-06 
15:52:05,2.4621620718641086;8.143403094605596;0.04177383105208321,8.507584914787445,17;17;17,2.4621620718641088e-06;8.143403094605597e-06;4.177383105208321e-08 
15:52:07,8.836100502013895;4.640012696585871;5.451796696938516,11.372267897430046,51;51;51,8.836100502013895e-06;4.6400126965858714e-06;5.451796696938516e-06 
15:52:09,1.3305276934304637;3.268334662116845;4.6001093356196066,5.797699656435687,13;13;13,1.3305276934304638e-06;3.268334662116845e-06;4.600109335619607e-06 
15:52:12,1.8897982374828857;7.1844754505141495;6.7841948605043,10.060483327491124,11;11;11,1.8897982374828856e-06;7.18447545051415e-06;6.7841948605043e-06 
15:52:14,5.9842571703591085;15.690749734243447;15.475645678808547,22.83651834846286,15;15;15,5.984257170359109e-06;1.569074973424345e-05;1.5475645678808546e-05 
15:52:16,13.5559199206031;10.934767894746455;10.495830923771265,20.334566151904372,42;42;42,1.35559199206031e-05;1.0934767894746456e-05;1.0495830923771265e-05 
15:52:18,11.92861097971622;12.468553333285337;9.969605350539368,19.928612921522923,37;37;37,1.192861097971622e-05;1.2468553333285338e-05;9.969605350539368e-06 
15:52:20,0.25500741640741703;13.262256123226845;6.001714890757626,14.559294209900168,1;1;1,2.55007416407417e-07;1.3262256123226846e-05;6.001714890757626e-06 
15:52:22,20.639389988581573;9.536903279624642;13.35827358567343,26.37006667521675,52;52;52,2.0639389988581576e-05;9.536903279624643e-06;1.335827358567343e-05 
15:52:25,12.014652601877618;6.907645883558633;15.372146336202874,20.69710926139408,36;36;36,1.2014652601877618e-05;6.907645883558633e-06;1.5372146336202875e-05 
15:52:27,8.180189005533613;5.106383228300149;13.179955441211533,16.331009377036054,30;30;30,8.180189005533614e-06;5.106383228300149e-06;1.3179955441211533e-05 
15:52:29,3.182916529973108;16.934612315497755;7.836646006927239,18.92947628834123,10;10;10,3.1829165299731085e-06;1.6934612315497755e-05;7.83664600692724e-06 
15:52:31,1.0131712754568867;12.128127784730491;47.90585535368308,49.42761350464099,1;1;1,1.0131712754568868e-06;1.2128127784730491e-05;4.790585535368308e-05 
15:52:33,8.167095715205116;5.044034226736271;16.190788726841987,18.82246990432027,26;26;26,8.167095715205117e-06;5.044034226736271e-06;1.619078872684199e-05 
15:52:36,5.530356438954984;3.448523276648796;3.140519208876924,7.234640007132652,50;50;50,5.530356438954984e-06;3.448523276648796e-06;3.140519208876924e-06 
15:52:38,1.4552256965638388;6.5946538956978;3.958538109493759,7.827973287914076,11;11;11,1.4552256965638388e-06;6.5946538956978e-06;3.958538109493759e-06 
15:52:40,19.979737552007272;17.271920413969298;7.128361349149515,27.35548725498465,47;47;47,1.9979737552007274e-05;1.72719204139693e-05;7.1283613491495145e-06 
15:52:42,1.3991115951535251;6.649521017072724;2.624269475901997,7.284259282475868,11;11;11,1.3991115951535253e-06;6.649521017072724e-06;2.624269475901997e-06 
15:52:44,1.2101941204072861;12.997896356582217;15.855351098418069,20.537819698293895,3;3;3,1.2101941204072862e-06;1.2997896356582218e-05;1.585535109841807e-05 
15:52:46,1.762606274286621;0.5748577944456601;3.4915440877760773,3.953242021287537,26;26;26,1.762606274286621e-06;5.748577944456601e-07;3.4915440877760773e-06 
15:52:48,3.2377836513520846;7.822929226558917;5.440573876663635,10.06386152349819,19;19;19,3.2377836513520847e-06;7.822929226558916e-06;5.440573876663635e-06 
15:52:51,2.9035930029552848;6.918868703843728;17.96711178140953,19.470970757348084,9;9;9,2.903593002955285e-06;6.918868703843728e-06;1.796711178140953e-05 
15:52:53,12.685527858733913;8.419609171554043;10.496454413765122,18.492917317629484,43;43;43,1.2685527858733913e-05;8.419609171554043e-06;1.0496454413765121e-05 
15:52:55,9.889798628488933;1.222040430701954;3.0837816174216215,10.431261131343579,71;71;71,9.889798628488932e-06;1.222040430701954e-06;3.0837816174216214e-06 
15:52:57,6.946302264531259;6.091497453055927;1.7233264033560403,9.398261023366132,48;48;48,6.9463022645312595e-06;6.091497453055928e-06;1.7233264033560404e-06 
15:52:59,7.933910449345709;4.680539547599949;20.627543678232385,22.590926135780023,21;21;21,7.93391044934571e-06;4.680539547599949e-06;2.0627543678232386e-05 
15:53:01,2.2090251255035556;13.764789075852546;7.283610362966542,15.728960239867389,8;8;8,2.209025125503556e-06;1.3764789075852546e-05;7.283610362966542e-06 
15:53:04,15.524277900060259;0.5399423535681347;3.5838206100837766,15.941722373342767,77;77;77,1.552427790006026e-05;5.399423535681347e-07;3.5838206100837765e-06 
15:53:06,9.013171666463018;14.560985825855411;9.47268380807742,19.570163776466103,27;27;27,9.013171666463019e-06;1.4560985825855413e-05;9.472683808077421e-06 
15:53:08,2.826280241012273;4.227885796230235;8.1689661852824,9.62262369850287,17;17;17,2.8262802410122732e-06;4.227885796230235e-06;8.1689661852824e-06 
15:53:10,1.1266464583076785;3.8830958175675168;11.123685369522462,11.83571466243402,5;5;5,1.1266464583076785e-06;3.883095817567517e-06;1.1123685369522462e-05 
15:53:12,6.340893459320318;5.8726524575570815;2.4983244928247217,8.996477200613045,45;45;45,6.340893459320318e-06;5.872652457557082e-06;2.498324492824722e-06 
15:53:14,21.29343101501472;0.3884342797614293;29.813422079104868,36.63879394368409,36;36;36,2.129343101501472e-05;3.884342797614293e-07;2.981342207910487e-05 
15:53:16,15.45881144841487;7.03920227686472;17.60673455241424,24.464715851434644,39;39;39,1.545881144841487e-05;7.03920227686472e-06;1.760673455241424e-05 
15:53:18,4.110046183268102;15.518042999900338;1.4090874353627214,16.11482750685994,15;15;15,4.110046183268102e-06;1.551804299990034e-05;1.4090874353627214e-06 
15:53:21,13.692464234033926;1.9359364986435423;2.2645157368774704,14.012831921123018,78;78;78,1.3692464234033926e-05;1.935936498643542e-06;2.2645157368774706e-06 
15:53:23,15.16265369097414;5.570259799958954;4.028368991196629,16.648171608939073,66;66;66,1.5162653690974141e-05;5.570259799958954e-06;4.0283689911966295e-06 
15:53:25,14.731198600133416;2.1472996139567657;14.135142145191182,20.528549663661863,46;46;46,1.4731198600133416e-05;2.1472996139567656e-06;1.4135142145191182e-05 
15:53:27,3.989712610244958;1.1154236380237492;16.40589278222926,16.920853837398745,14;14;14,3.9897126102449584e-06;1.1154236380237492e-06;1.6405892782229258e-05 
15:53:29,12.04520361264532;9.705869073865836;4.006546840624736,15.979463136639765,49;49;49,1.2045203612645322e-05;9.705869073865837e-06;4.006546840624736e-06 
15:53:32,14.74803283055618;2.5301224835712066;19.819500617947128,24.83381961958011,36;36;36,1.474803283055618e-05;2.5301224835712065e-06;1.981950061794713e-05 
15:53:34,17.293119074503853;1.306211582816963;17.86797686898467,24.900256091346236,44;44;44,1.7293119074503853e-05;1.306211582816963e-06;1.786797686898467e-05 
15:53:36,21.044658498763905;0.19826982497772594;10.551945025156328,23.54273786259818,63;63;63,2.1044658498763906e-05;1.9826982497772593e-07;1.0551945025156329e-05 
15:53:38,18.891747474670233;4.065778392153718;2.7601902993854566,19.52043357791099,75;75;75,1.8891747474670236e-05;4.065778392153718e-06;2.7601902993854567e-06 
15:53:40,3.674226662318189;1.1802665996571982;18.949108556167715,19.338088992601744,11;11;11,3.674226662318189e-06;1.1802665996571983e-06;1.8949108556167715e-05 
15:53:42,17.135376100540036;6.907645883563629;12.514068104357179,22.314537554701012,50;50;50,1.7135376100540036e-05;6.907645883563629e-06;1.251406810435718e-05 
15:53:44,9.503234818776637;6.819110301332976;3.164835319569903,12.11725711217482,52;52;52,9.503234818776637e-06;6.819110301332976e-06;3.1648353195699033e-06 
15:53:46,8.202011156081927;0.22819734573398254;4.647494576810018,9.429966430193215,60;60;60,8.202011156081928e-06;2.2819734573398255e-07;4.647494576810018e-06 
15:53:49,14.797288541793911;9.081755568187798;2.9347675036817122,17.608262057627424,57;57;57,1.479728854179391e-05;9.081755568187799e-06;2.9347675036817122e-06 
15:53:51,4.426779111226159;4.419297231038621;5.915049778664638,8.608970623711901,31;31;31,4.426779111226159e-06;4.419297231038621e-06;5.915049778664639e-06 
15:53:53,0.8049256102242303;3.1554829692862496;8.353519229840956,8.96583858491625,5;5;5,8.049256102242303e-07;3.1554829692862498e-06;8.353519229840956e-06 
15:53:55,11.516484079361213;13.550308510465236;0.6540410264790353,17.79516889336217,40;40;40,1.1516484079361212e-05;1.3550308510465237e-05;6.540410264790353e-07 
15:53:57,18.29257356961583;14.935703325269834;0.2518899663677132,23.616878078514965,51;51;51,1.829257356961583e-05;1.4935703325269835e-05;2.518899663677132e-07 
15:53:59,2.070610342026005;6.802276070915436;4.474164352442855,8.40098408438703,14;14;14,2.0706103420260053e-06;6.802276070915437e-06;4.474164352442856e-06 
15:54:01,6.715610958735366;6.1769155851970625;1.112306187968315,9.191895438457157,47;47;47,6.715610958735366e-06;6.176915585197062e-06;1.112306187968315e-06 
15:54:04,10.039436232248699;11.91240023930673;9.114177048967775,18.04892746405597,34;34;34,1.0039436232248698e-05;1.1912400239306731e-05;9.114177048967776e-06 
15:54:06,0.6085262552899053;10.876159833273725;21.66378408436387,24.248313297551878,1;1;1,6.085262552899054e-07;1.0876159833273726e-05;2.166378408436387e-05 
15:54:08,1.487023687362976;3.69978975295826;1.9247136783278052,4.42766376392965,20;20;20,1.487023687362976e-06;3.6997897529582605e-06;1.9247136783278054e-06 
15:54:10,21.42685787836733;12.51531508445991;16.371600831401878,29.728314180017346,46;46;46,2.142685787836733e-05;1.2515315084459911e-05;1.6371600831401877e-05 
15:54:12,4.408697900772293;10.573143685656872;14.2554757181248,18.28788048210797,14;14;14,4.4086979007722935e-06;1.0573143685656872e-05;1.42554757181248e-05 
15:54:14,16.026187362670598;0.909048442843563;10.0699872429999,18.9491343741354,58;58;58,1.60261873626706e-05;9.09048442843563e-07;1.0069987242999901e-05 
15:54:17,10.2601516977949;4.719195928571285;2.0986673927740895,11.486771865911699,63;63;63,1.02601516977949e-05;4.719195928571285e-06;2.0986673927740896e-06 
15:54:19,11.715377394358045;1.2582028516114896;4.631283836326716,12.660250071805844,68;68;68,1.1715377394358046e-05;1.2582028516114895e-06;4.631283836326716e-06 
15:54:21,16.793080081939888;16.951446545922842;0.09477048241812724,23.86143457720142,45;45;45,1.679308008193989e-05;1.6951446545922846e-05;9.477048241812725e-08 
15:54:23,2.474631872177044;6.5154706637047255;6.722469348860116,9.683323552311732,15;15;15,2.474631872177044e-06;6.515470663704726e-06;6.722469348860116e-06 
15:54:25,5.816538356145047;1.457096166609717;13.157509800651113,14.459436774697876,24;24;24,5.8165383561450475e-06;1.457096166609717e-06;1.3157509800651112e-05 
15:54:27,8.24877290725725;7.822305736543855;13.711168934470663,17.810863961668492,28;28;28,8.24877290725725e-06;7.822305736543855e-06;1.3711168934470663e-05 
15:54:30,13.443691717783542;11.342530364988225;5.769153114915326,18.51132004333616,47;47;47,1.3443691717783543e-05;1.1342530364988226e-05;5.769153114915326e-06 
15:54:32,4.856363732020343;6.627698866523923;4.18299451505888,9.219983952047732,32;32;32,4.856363732020344e-06;6.627698866523924e-06;4.18299451505888e-06 
15:54:34,31.041073919931765;7.508690258662298;6.639545176785333,32.61920078202057,72;72;72,3.104107391993176e-05;7.508690258662298e-06;6.6395451767853335e-06 
15:54:36,5.99049207051576;18.158523216251666;6.706258608451421,20.263066529168082,17;17;17,5.99049207051576e-06;1.8158523216251667e-05;6.706258608451421e-06 
15:54:38,13.466137358347293;10.863066542940004;3.015821205815783,17.56241007423717,50;50;50,1.3466137358347294e-05;1.0863066542940004e-05;3.015821205815783e-06 
15:54:40,4.380640850067382;2.1435586738577372;7.057906977404826,8.578980647329235,31;31;31,4.380640850067383e-06;2.1435586738577373e-06;7.057906977404827e-06 
15:54:42,10.52077052434306;1.1278934383417427;14.151976375540443,17.670234615533403,37;37;37,1.0520770524343061e-05;1.1278934383417428e-06;1.4151976375540443e-05 
15:54:44,2.8780299123130697;6.59901832580756;0.0006234900364887608,7.199312427534494,24;24;24,2.87802991231307e-06;6.59901832580756e-06;6.234900364887608e-10 
15:54:47,9.18650189081803;14.744291890463224;1.704621702861786,17.45542023243927,32;32;32,9.18650189081803e-06;1.4744291890463224e-05;1.704621702861786e-06 
15:54:49,7.508690258662042;6.386408230466767;8.374717890379912,12.934548280869697,36;36;36,7.508690258662042e-06;6.386408230466767e-06;8.374717890379912e-06 
15:54:51,2.989634625117171;5.347673864365188;3.5108722781984625,7.061285655256871,25;25;25,2.989634625117171e-06;5.347673864365188e-06;3.5108722781984625e-06 
15:54:53,12.567064755757396;2.300678157806324;1.708362642883543,12.889636902597637,77;77;77,1.2567064755757397e-05;2.3006781578063242e-06;1.708362642883543e-06 
15:54:55,5.535967849095471;10.86805446307193;3.241524591482303,12.620183418465079,26;26;26,5.535967849095471e-06;1.086805446307193e-05;3.2415245914823033e-06 
15:54:57,7.253059352239168;3.119320548378157;23.37526417730018,24.672657052073077,17;17;17,7.253059352239168e-06;3.1193205483781574e-06;2.3375264177300182e-05 
15:55:00,14.661991208394017;0.970773954393267;22.657003679221077,27.00474410146834,33;33;33,1.4661991208394018e-05;9.70773954393267e-07;2.265700367922108e-05 
15:55:02,10.186579875946206;7.183851960498089;3.3013796329850464,12.894698369503374,52;52;52,1.0186579875946208e-05;7.183851960498089e-06;3.3013796329850465e-06 
15:55:04,4.918712733586503;4.799002650577422;11.706648534161701,13.574600594425807,21;21;21,4.918712733586503e-06;4.799002650577422e-06;1.1706648534161701e-05 
15:55:06,5.497934958139987;30.545399357477464;20.337620820999547,37.10616567863725,9;9;9,5.497934958139987e-06;3.0545399357477466e-05;2.0337620820999547e-05 
15:55:08,17.32367008527145;2.8393735313432256;8.262489687670183,19.402070072873087,63;63;63,1.732367008527145e-05;2.8393735313432255e-06;8.262489687670182e-06 
15:55:11,2.187202974955317;24.799938863121152;14.077781063745576,28.6007822296341,4;4;4,2.187202974955317e-06;2.4799938863121152e-05;1.4077781063745576e-05 
15:55:13,6.566596844991321;3.2315487511951346;1.0056893952423707,7.387456437482645,63;63;63,6.566596844991321e-06;3.2315487511951346e-06;1.0056893952423708e-06 
15:55:15,7.4033204460144875;3.379315884910472;20.80274437272145,22.337929691741316,19;19;19,7.403320446014487e-06;3.3793158849104723e-06;2.080274437272145e-05 
15:55:17,11.891201578775796;2.8861352825155784;18.50456017492519,22.184435965863287,32;32;32,1.1891201578775797e-05;2.8861352825155784e-06;1.8504560174925188e-05 
15:55:19,2.2900788275403636;5.044034226733718;3.1810460598986623,6.3879414800079894,21;21;21,2.2900788275403637e-06;5.044034226733718e-06;3.181046059898662e-06 
15:55:21,15.104669119517238;1.0025719451941528;4.800873120677451,15.880949670477243,72;72;72,1.510466911951724e-05;1.0025719451941528e-06;4.800873120677452e-06 
15:55:24,11.86688546816484;0.23256177584540794;8.70766155874314,14.720748130300283,54;54;54,1.1866885468164841e-05;2.3256177584540793e-07;8.70766155874314e-06 
15:55:26,17.393500967025542;8.77811593055533;61.5821088473556,64.59059780856452,16;16;16,1.7393500967025544e-05;8.77811593055533e-06;6.15821088473556e-05 
15:55:28,0.18143559455853497;8.102252753577787;11.644923022622322,14.187446943006732,1;1;1,1.8143559455853498e-07;8.102252753577789e-06;1.1644923022622323e-05 
