Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
14:05:49,0.7332242584226663;10.30753693898523;10.97030682566924,15.07085158214391,3;3;3,7.332242584226663e-07;1.030753693898523e-05;1.097030682566924e-05,43.106428333333334;5.87872 
14:05:50,5.098901348113878;16.94645862579336;12.00031233149268,21.381972569594673,14;14;14,5.098901348113878e-06;1.694645862579336e-05;1.200031233149268e-05,43.106428333333334;5.87872 
14:05:52,0.721377948124987;0.708908147812104;4.160548874507342,4.281717394135175,10;10;10,7.21377948124987e-07;7.08908147812104e-07;4.160548874507342e-06,43.106428333333334;5.87872 
14:05:54,10.884888693491794;9.81747378667297;12.032733812363361,18.964447696173725,35;35;35,1.0884888693491795e-05;9.81747378667297e-06;1.2032733812363361e-05,43.106428333333334;5.87872 
14:05:56,6.406983400980781;12.97108628590804;5.941236359253921,15.639590954159756,24;24;24,6.406983400980782e-06;1.297108628590804e-05;5.941236359253921e-06,43.106428333333334;5.87872 
14:05:58,3.797677685419613;3.105603768030929;8.112852083817401,9.480796353695311,24;24;24,3.797677685419613e-06;3.105603768030929e-06;8.112852083817402e-06,43.106428333333334;5.87872
14:07:50,1.9677344894407958;12.268413038252767;19.290157594641144,22.945503209217197,5;5;5,1.967734489440796e-06;1.2268413038252768e-05;1.9290157594641143e-05,43.106975;5.878756666666668 
14:07:52,2.318135878245257;10.589354426067011;0.2612423165988531,10.843266512396292,12;12;12,2.318135878245257e-06;1.0589354426067012e-05;2.612423165988531e-07,43.10698166666666;5.878778333333334 
14:07:54,14.738056990305406;8.717637399038969;1.9876861699206216,17.238283614696293,59;59;59,1.4738056990305407e-05;8.717637399038969e-06;1.9876861699206216e-06,43.106991666666666;5.878801666666668 
14:07:56,0.1116047128043654;5.80656251589351;5.962435019775114,8.32341607922735,1;1;1,1.1160471280436541e-07;5.80656251589351e-06;5.962435019775114e-06,43.106995000000005;5.878821666666666 
14:07:58,4.2278857962289065;2.106772762932363;13.00974266683852,13.840769994402278,18;18;18,4.227885796228907e-06;2.106772762932363e-06;1.3009742666838519e-05,43.10699666666666;5.878838333333334 
14:08:01,10.30254901885972;10.271998008092197;16.052373943297837,21.664144769173898,28;28;28,1.0302549018859721e-05;1.0271998008092197e-05;1.6052373943297837e-05,43.10700166666667;5.8788583333333335 
14:28:02,9.247603912351687;11.575092140840626;1.4440028763331725,14.885767716028324,38;38;38,9.247603912351687e-06;1.1575092140840627e-05;1.4440028763331725e-06,43.10682666666666;5.878751666666666 
Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
15:23:37,3.681085052489985;1.1889954598749974;7.628400341660679,8.553162522711546,26;26;26,3.6810850524899855e-06;1.1889954598749974e-06;7.62840034166068e-06,43.106805;5.878611666666666 
15:23:39,11.210350481669519;11.803289486567392;0.8747564920241757,16.301987594950464,43;43;43,1.1210350481669519e-05;1.1803289486567393e-05;8.747564920241757e-07,43.106805;5.878611666666666 
15:23:41,23.105293000540094;11.243395452501304;2.2252358658683136,25.791862681878577,64;64;64,2.3105293000540097e-05;1.1243395452501304e-05;2.2252358658683137e-06,43.106805;5.878611666666666 
15:23:43,6.438781391779502;0.7986907100665519;6.70002370840983,9.326635532426813,44;44;44,6.4387813917795024e-06;7.98690710066552e-07;6.70002370840983e-06,43.106805;5.878611666666666 
15:23:45,15.691996714274126;0.6584054565448305;4.590133495289805,16.362811009437817,74;74;74,1.5691996714274127e-05;6.584054565448306e-07;4.590133495289806e-06,43.106805;5.878611666666666 
15:23:47,9.323669694265234;6.267321637472179;6.710623038557628,13.085969533852177,45;45;45,9.323669694265236e-06;6.26732163747218e-06;6.7106230385576286e-06,43.106805;5.878611666666666 
15:23:49,0.7157665379854405;0.4944275824234623;26.36365182246969,26.3780006404498,2;2;2,7.157665379854405e-07;4.944275824234623e-07;2.6363651822469692e-05,43.106805;5.878611666666666 
15:23:52,3.370587024688121;7.3166553338377955;9.542514689714565,12.488149933780873,16;16;16,3.370587024688121e-06;7.316655333837796e-06;9.542514689714565e-06,43.106805;5.878611666666666 
15:23:54,4.175512634912836;5.085184567768741;11.138025639830573,12.936368230926073,19;19;19,4.175512634912837e-06;5.085184567768741e-06;1.1138025639830573e-05,43.106805;5.878611666666666 
15:23:56,8.637830677032444;4.433637501399801;28.610086348880515,30.2126844419575,17;17;17,8.637830677032443e-06;4.433637501399801e-06;2.8610086348880515e-05,43.106805;5.878611666666666 
15:23:58,5.042163756688256;11.031408847173962;9.177149540606777,15.20971630877538,19;19;19,5.042163756688256e-06;1.1031408847173962e-05;9.177149540606777e-06,43.106805;5.878611666666666 
15:24:00,1.4608371067043602;9.573065700530181;0.023692620645832108,9.683914151791353,9;9;9,1.4608371067043602e-06;9.573065700530182e-06;2.369262064583211e-08,43.106805;5.878611666666666 
