Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
13:54:57,25.452732909520005;5.741096064248497;21.53035722102281,33.82836204499327,49;49;49,2.5452732909520006e-05;5.7410960642484975e-06;2.153035722102281e-05,43.107105000000004;5.878299999999999 
13:54:59,4.957992604574052;6.87709487279392;3.252747411751855,9.080555615218586,33;33;33,4.957992604574052e-06;6.877094872793921e-06;3.252747411751855e-06,43.107103333333335;5.878306666666667 
13:55:01,2.694723847707345;1.0836256472253059;17.58054797177344,17.818850921048597,9;9;9,2.694723847707345e-06;1.083625647225306e-06;1.758054797177344e-05,43.107106666666674;5.878306666666667 
Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
14:01:31,3.017068185806604;10.294443648657946;3.65988639196857,11.334594782140075,15;15;15,3.017068185806604e-06;1.0294443648657948e-05;3.65988639196857e-06,43.10687166666666;5.878153333333334 
14:01:33,1.8891747474666931;11.638688122432795;0.28929936733135264,11.79456385635613,9;9;9,1.8891747474666932e-06;1.1638688122432795e-05;2.8929936733135263e-07,43.10687166666666;5.878153333333334 
14:01:35,10.520770524342485;6.628322356540927;0.629724915789609,12.450615372649665,58;58;58,1.0520770524342485e-05;6.628322356540928e-06;6.29724915789609e-07,43.10687166666666;5.878153333333334 
14:01:37,4.088224032720259;0.3098745377870249;8.89034413334322,9.79018982349936,25;25;25,4.088224032720258e-06;3.098745377870249e-07;8.89034413334322e-06,43.10693166666667;5.8783433333333335 
14:01:39,1.404099515279436;13.066480258304146;3.709765593182368,13.655283319866331,6;6;6,1.404099515279436e-06;1.3066480258304147e-05;3.7097655931823684e-06,43.106899999999996;5.8783466666666655 
14:01:41,6.780453920364138;2.3973191102328872;4.873821452479277,8.687682650345627,51;51;51,6.780453920364139e-06;2.3973191102328875e-06;4.873821452479277e-06,43.10686666666667;5.878354999999999 
14:01:43,9.409087826410465;0.15836646397804355;2.485231202403071,9.733056446533963,75;75;75,9.409087826410465e-06;1.5836646397804355e-07;2.485231202403071e-06,43.106853333333326;5.8783650000000005 
14:01:45,3.7970541954042702;5.628867861428022;9.3785368156869,11.57837323493456,19;19;19,3.79705419540427e-06;5.628867861428022e-06;9.378536815686899e-06,43.10683666666667;5.878375 
14:01:47,14.132648185094048;9.47891870816414;0.9327410634298872,17.042642121778965,56;56;56,1.4132648185094048e-05;9.478918708164141e-06;9.327410634298872e-07,43.10682666666666;5.878384999999999 
14:01:49,17.520069440205468;0.45452422142094884;5.600187320666805,18.398954412793056,72;72;72,1.752006944020547e-05;4.5452422142094883e-07;5.6001873206668054e-06,43.10683833333333;5.878381666666667 
14:01:51,4.337620038985829;4.724183848700047;10.671655108103195,12.45058566434667,20;20;20,4.337620038985829e-06;4.724183848700048e-06;1.0671655108103195e-05,43.10684333333334;5.8783883333333335 
14:01:53,7.52614797910009;4.093835442861627;18.58000246687297,20.460177997895034,22;22;22,7.52614797910009e-06;4.0938354428616274e-06;1.858000246687297e-05,43.10684;5.878399999999999 
14:01:55,4.022757581075245;7.001169385909112;3.476580327403056,8.791220739986867,27;27;27,4.022757581075245e-06;7.001169385909112e-06;3.476580327403056e-06,43.10684166666667;5.878410000000001 
14:01:57,16.270595448811502;2.4334815311410907;3.6299588711692365,16.847276041772172,75;75;75,1.6270595448811503e-05;2.433481531141091e-06;3.6299588711692367e-06,43.10684333333334;5.878416666666667 
14:01:59,11.651781412760757;11.635570672354877;1.233263250947303,16.512766370546732,45;45;45,1.1651781412760758e-05;1.1635570672354878e-05;1.233263250947303e-06,43.10684333333334;5.878423333333334 
14:02:01,3.1573534393307403;7.809212446210633;6.356480709685641,10.552607582181306,17;17;17,3.1573534393307408e-06;7.809212446210634e-06;6.356480709685641e-06,43.10684166666667;5.878425 
Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
